"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2004,Southern,Oklahoma,All,110
2004,Southern,South Carolina,Male,90-100
2004,Southern,South Carolina,Female,<10
2004,Southern,South Carolina,All,99
2004,Southern,Tennessee,Male,150-160
2004,Southern,Tennessee,Female,<10
2004,Southern,Tennessee,All,155
2004,Southern,Texas,Male,430-440
2004,Southern,Texas,Female,<10
2004,Southern,Texas,All,440
2004,Southern,Virginia,Male,150-160
2004,Southern,Virginia,Female,<10
2004,Southern,Virginia,All,160
2004,Southern,West Virginia,Male,60-70
2004,Southern,West Virginia,Female,<10
2004,Southern,West Virginia,All,71
2004,Western,Alaska,Male,10-20
2004,Western,Alaska,Female,<10
2004,Western,Alaska,All,20
2004,Western,Arizona,Male,160-170
2004,Western,Arizona,Female,<10
2004,Western,Arizona,All,168
2004,Western,California,Male,489
2004,Western,California,Female,18
2004,Western,California,All,507
2004,Western,Colorado,Male,150-160
2004,Western,Colorado,Female,<10
2004,Western,Colorado,All,161
2004,Western,Hawaii,Male,10-20
2004,Western,Hawaii,Female,<10
2004,Western,Hawaii,All,17
2004,Western,Idaho,Male,30-40
2004,Western,Idaho,Female,<10
2004,Western,Idaho,All,35
2004,Western,Montana,Male,30-40
2004,Western,Montana,Female,<10
2004,Western,Montana,All,38
2004,Western,Nevada,Male,110-120
2004,Western,Nevada,Female,<10
2004,Western,Nevada,All,112
2004,Western,New Mexico,Male,60-70
2004,Western,New Mexico,Female,<10
2004,Western,New Mexico,All,66
2004,Western,Oregon,Male,120-130
2004,Western,Oregon,Female,<10
2004,Western,Oregon,All,132
2004,Western,Utah,Male,50-60
2004,Western,Utah,Female,<10
2004,Western,Utah,All,54
2004,Western,Washington,Male,150-160
2004,Western,Washington,Female,<10
2004,Western,Washington,All,162
2004,Western,Wyoming,Male,20-30
2004,Western,Wyoming,Female,<10
2004,Western,Wyoming,All,24
2004,All,U.S. Total,Male,5836
2004,All,U.S. Total,Female,168
2004,All,U.S. Total,All,6004
2005,Northeastern,Connecticut,Male,40-50
2005,Northeastern,Connecticut,Female,<10
2005,Northeastern,Connecticut,All,49
2005,Northeastern,Maine,Male,40-50
2005,Northeastern,Maine,Female,<10
2005,Northeastern,Maine,All,46
2005,Northeastern,Massachusetts,Male,60-70
2005,Northeastern,Massachusetts,Female,<10
2005,Northeastern,Massachusetts,All,67
2005,Northeastern,New Hampshire,Male,30-40
2005,Northeastern,New Hampshire,Female,<10
2005,Northeastern,New Hampshire,All,33
2005,Northeastern,New Jersey,Male,60-70
2005,Northeastern,New Jersey,Female,<10
2005,Northeastern,New Jersey,All,65
2005,Northeastern,New York,Male,160-170
2005,Northeastern,New York,Female,<10
2005,Northeastern,New York,All,166
2005,Northeastern,Pennsylvania,Male,270-280
2005,Northeastern,Pennsylvania,Female,<10
2005,Northeastern,Pennsylvania,All,285
2005,Northeastern,Rhode Island,Male,10-20
2005,Northeastern,Rhode Island,Female,<10
2005,Northeastern,Rhode Island,All,13
2005,Northeastern,Vermont,Male,10-20
2005,Northeastern,Vermont,Female,<10
2005,Northeastern,Vermont,All,14
2005,Midwestern,Illinois,Male,190-200
2005,Midwestern,Illinois,Female,<10
2005,Midwestern,Illinois,All,203
2005,Midwestern,Indiana,Male,140-150
2005,Midwestern,Indiana,Female,<10
2005,Midwestern,Indiana,All,153
2005,Midwestern,Iowa,Male,60-70
2005,Midwestern,Iowa,Female,<10
2005,Midwestern,Iowa,All,64
2005,Midwestern,Kansas,Male,60-70
2005,Midwestern,Kansas,Female,<10
2005,Midwestern,Kansas,All,70
2005,Midwestern,Michigan,Male,180-190
2005,Midwestern,Michigan,Female,<10
2005,Midwestern,Michigan,All,196
2005,Midwestern,Minnesota,Male,90-100
2005,Midwestern,Minnesota,Female,<10
2005,Midwestern,Minnesota,All,94
2005,Midwestern,Missouri,Male,150-160
2005,Midwestern,Missouri,Female,<10
2005,Midwestern,Missouri,All,160
